station_id,station_name
334,"Concert Hall Approach 1, South Bank"
813,"New Spring Gardens Walk, Vauxhall"
608,"Colet Gardens, Hammersmith"
724,"Alma Road, Wandsworth"
716,"Stainsby Road , Poplar"
690,"Stanley Grove, Battersea"
165,"Orsett Terrace, Bayswater"
560,"Ladbroke Grove Central, Ladbroke Grove"
396,"Shouldham Street, Marylebone"
494,"South Quay East, Canary Wharf"
743,"Oxford Road, Putney"
771,"Rifle Place, Avondale"
487,"Canton Street, Poplar"
21,"Hampstead Road (Cartmel), Euston"
752,"Manfred Road, East Putney"
382,"Farm Street, Mayfair"
289,"South Audley Street, Mayfair"
291,"Claverton Street, Pimlico"
520,"Bancroft Road, Bethnal Green"
14,"Belgrove Street, King's Cross"
596,"Parson's Green, Parson's Green"
717,"Dunston Road, Haggerston"
553,"Regent's Row, Haggerston "
32,"Leonard Circus, Shoreditch"
25,"Doric Way, Somers Town"
353,"Greycoat Street, Westminster"
80,"Webber Street, Southwark"
88,"Bayley Street, Bloomsbury"
57,"Guilford Street, Bloomsbury"
130,"Tower Gardens, Tower"
571,"Westfield Southern Terrace,Shepherd's Bush"
244,"Earnshaw Street, Covent Garden"
140,"Finsbury Square, Moorgate"
235,"Kennington Road , Vauxhall"
65,"Gower Place, Euston"
111,"Park Lane, Hyde Park"
611,"Princedale Road, Holland Park"
16,"Cartwright Gardens, Bloomsbury"
26,"Ampton Street, Clerkenwell"
131,"Eversholt Street, Camden Town"
71,"Newgate Street, St. Paul's"
206,"New Road 1, Whitechapel"
338,"Wellington Street, Strand"
109,"Soho Square, Soho"
308,"Long Lane, Bermondsey"
709,"Montserrat Road, Putney"
42,"Wenlock Road, Hoxton"
814,"Clapham Road, Lingham Street, Stockwell"
51,"Finsbury Library, Finsbury"
716,"Stainsby Road, Poplar"
68,"Theobald's Road, Holborn"
22,"Northington Street, Holborn"
223,"Rodney Road, Walworth"
524,"Lancaster Gate, Bayswater"
146,"Vauxhall Bridge, Pimlico"
70,"Calshot Street, King's Cross"
63,"Murray Grove, Hoxton"
182,"Bell Street, Marylebone"
1,"River Street, Clerkenwell"
20,"Drummond Street, Euston"
808,"Stockwell Roundabout, Stockwell"
